Von;Nach;Dauer;Anzahl;Dauer
AKSS;AKSG;00:00:00.0000000;1017;0
KT  V;KT;00:00:00.0000000;16;0
XADG;XABH;00:00:00.0000000;213;0
XAHG;XAHGB;00:00:00.0000000;16;0
XALA;XAAB;00:00:00.0000000;67;0
XALN;XABI;00:00:00.0000000;16;0
XFMVD;XFMV;00:00:00.0000000;619;0
XFSTD;XFSTH;00:00:00.0000000;420;0
XARE;DSA;00:00:00.0400000;26;0
XALM;XALN;00:00:00.0900000;126;0
XASR;XASF;00:00:00.1433333;954;0
XAKA;XAAH;00:00:00.2500000;847;0
FHOEA;FHOES;00:00:00.4900000;5281;0
XARE;XALT;00:00:01.0566667;1005;1
XDVB;MMRU;00:00:01.4600000;13;1
XAMU;XAPL;00:00:01.4900000;362;1
TPT;TSNRE;00:00:02.0300000;12321;2
NFUF;NFUA;00:00:02.3266667;7405;2
TBKA;TBK;00:00:02.7966667;3051;2
TBK;TBKA;00:00:03.0133333;2994;3
XNZL;EXEM;00:00:03.2533333;55;3
HG;HEDM;00:00:03.8166667;22;3
XARE;XAS;00:00:04.1133333;2310;4
TSNRE;TPT;00:00:04.1800000;12216;4
DKH;XAHO;00:00:04.2733333;22;4
KDBW;KDBWN;00:00:04.3966667;5590;4
KKO;KKOL;00:00:04.4000000;33;4
FHOES;FHOEA;00:00:04.8200000;5098;4
KDBWN;KDBW;00:00:05.1466667;5422;5
RAPM;RAPR;00:00:05.2100000;24;5
AMD;AMDH;00:00:05.3200000;3191;5
EEDL;EEDZ;00:00:05.4000000;2237;5
TWSH;XDGL;00:00:05.5900000;22;5
TBWT;TBFK;00:00:05.7133333;636;5
BETN;BWUR;00:00:05.8433333;502;5
AKSG;AKSS;00:00:05.9533333;1035;5
RSLZ;RSLR;00:00:05.9900000;1979;5
FWO G;FWO;00:00:06.0000000;93;6
MOBU;MABO;00:00:06.0000000;1887;6
RBIE;RMS;00:00:06.0000000;15;6
MOP R;MOP A;00:00:06.0033333;4590;6
HBR V;HBOS;00:00:06.0066667;1162;6
KHER;KHERN;00:00:06.0766667;3036;6
RSLR;RSLZ;00:00:06.1333333;2051;6
XFMZV;XFMS;00:00:06.5133333;140;6
KHERN;KHER;00:00:06.9333333;3010;6
EHEOV;EHGN;00:00:07.4100000;778;7
TBFK;TBWT;00:00:07.4766667;654;7
RKLS;RMBK;00:00:07.9233333;1424;7
XAPL;XART;00:00:07.9366667;245;7
KNAMN;KNAM;00:00:08.0300000;3073;8
RMBK;RKLS;00:00:08.5566667;1454;8
EEZK;EEZB;00:00:08.9800000;1373;8
RSLR;RSL;00:00:09.5166667;1996;9
FRFH;FRFHW;00:00:09.5533333;255;9
KMCW;KMCD;00:00:09.6466667;375;9
EEZB;EEZK;00:00:09.7833333;1442;9
HHN;HHZ;00:00:10.0966667;8659;10
KGS;KG  P;00:00:10.1366667;22;10
ENOB;ENOBU;00:00:10.2466667;5878;10
RSL;RSLR;00:00:10.2733333;2058;10
RBRO;RBRE;00:00:10.4166667;595;10
KG  P;KGS;00:00:10.5000000;28;10
TKUC;TGI;00:00:10.8000000;35;10
KNAM;KNAMN;00:00:10.8233333;3159;10
MOP A;MOP R;00:00:10.9966667;4771;10
HBVP;HBST;00:00:11.1866667;1094;11
TS  W;TS  P;00:00:11.2166667;11998;11
HBST;HBVP;00:00:11.3333333;1100;11
MABO;MOBU;00:00:11.3866667;1909;11
RHAT;RHATA;00:00:11.7700000;1150;11
NWHWU;NWHW;00:00:11.8600000;1153;11
SNKW;SNKE;00:00:11.9400000;2812;11
MOD;MODU;00:00:11.9800000;570;11
EHGN;EHEOV;00:00:11.9833333;773;11
AKGA;AKSA;00:00:11.9933333;1068;11
BCKW;BCSO;00:00:12.0000000;11;12
DBAC;DCDF;00:00:12.0000000;51;12
DCDF;DBAC;00:00:12.0000000;56;12
AKSA;AKGA;00:00:12.0166667;1068;12
RHATA;RHAT;00:00:12.0433333;1143;12
MODU;MOD;00:00:12.1133333;611;12
NND;NSTD;00:00:12.1633333;6778;12
SWI;XAIW;00:00:12.2866667;24;12
NSTD;NND;00:00:12.4733333;6799;12
DNI;DPUM;00:00:12.5000000;1349;12
KKN E;KKP;00:00:12.5933333;1443;12
NWHW;NWHWU;00:00:12.7533333;1153;12
DPUM;DNI;00:00:12.8800000;1314;12
TS  T;TS;00:00:13.0000000;179;13
FRFHW;FRFH;00:00:13.0200000;257;13
KSTA;KG  P;00:00:13.3633333;22;13
FKWNB;FKR;00:00:13.4666667;229;13
RHIO;RHI;00:00:13.5133333;595;13
HLFG;HLFU;00:00:13.6200000;1972;13
HLFU;HLFG;00:00:13.6366667;1998;13
SKLS;SVO;00:00:13.7833333;457;13
KMCD;KMCW;00:00:13.9500000;551;13
TLW K;TLW S;00:00:13.9766667;985;13
RSDS;RSDG;00:00:14.1333333;3411;14
HWEA;HWED;00:00:14.2133333;3779;14
EWVA;EWVE;00:00:14.5066667;239;14
KKP;KKN E;00:00:14.5100000;1520;14
EDKR;EDKA;00:00:14.5200000;2733;14
EWVE;EWVA;00:00:14.6800000;244;14
KDD N;KHCH;00:00:14.7266667;11;14
TGIS;TGI;00:00:14.7533333;5523;14
RSDG;RSDS;00:00:14.8733333;3345;14
NBWH;NROS;00:00:14.8866667;2833;14
TLW S;TLW K;00:00:14.9433333;978;14
KDOB;KWST;00:00:15.0766667;8447;15
BRGBB;BRGBA;00:00:15.1033333;5311;15
LGOSO;LGOS;00:00:15.1800000;5519;15
BWUSN;BWUS;00:00:15.2600000;3173;15
BCSO;BCKW;00:00:15.6000000;20;15
TEHA;TEHN;00:00:15.9600000;580;15
REPG;RSTB;00:00:15.9866667;1100;15
RSL;RSLZ;00:00:16.0000000;15;16
YMMOL;MOL;00:00:16.0000000;11;16
ENOBU;ENOB;00:00:16.0566667;5924;16
SVO;SKLS;00:00:16.0600000;474;16
MGK;MGKU;00:00:16.1600000;1890;16
NFUA;NFUF;00:00:16.2100000;7081;16
RBRE;RBRO;00:00:16.3200000;593;16
BWUS;BWUSN;00:00:16.3300000;3056;16
KG  P;KSTA;00:00:16.3900000;23;16
WNS G;WNS;00:00:16.4466667;1672;16
BWSU;BAWS;00:00:16.5333333;941;16
EGRK;EVWM;00:00:16.6200000;1816;16
MGKU;MGK;00:00:16.7166667;1822;16
TFV;TFVA;00:00:16.9966667;3970;16
TGI;TGIS;00:00:17.0100000;5524;17
RKLS;RKLN;00:00:17.1133333;1456;17
KVI;KFNW;00:00:17.2700000;9205;17
FSINO;FSIN;00:00:17.3533333;4420;17
NROS;NBWH;00:00:17.3566667;2871;17
AKSS;AKSA;00:00:17.4133333;51;17
AKSG;AKSA;00:00:17.6766667;1017;17
DRBN;DRBA;00:00:17.7333333;1311;17
KDEM;KSTU;00:00:17.7833333;3850;17
KXA;XBHE;00:00:17.8033333;279;17
KHO;KHOL;00:00:17.8300000;4218;17
RHI;RHIO;00:00:17.8466667;593;17
FFAW;FHOES;00:00:17.8633333;8060;17
RMH;RMHR;00:00:17.8933333;246;17
TFVA;TFV;00:00:17.8966667;3938;17
SKK;SKU B;00:00:17.9166667;72;17
XAKG;XABT;00:00:17.9233333;13;17
BWUR;BETN;00:00:17.9533333;502;17
TSNU;TSNA;00:00:17.9800000;7864;17
AKSA;AKSG;00:00:18.0000000;1028;18
RSTB;REPG;00:00:18.0000000;1337;18
FNIS;FNISA;00:00:18.0333333;5833;18
TNB;TNBA;00:00:18.0333333;1965;18
FKRLS;FKRL;00:00:18.1733333;263;18
TKMA;TKM;00:00:18.2200000;294;18
LGOS;LGOSO;00:00:18.2766667;5105;18
TEHN;TEHA;00:00:18.4300000;577;18
KSTP;KSTA;00:00:18.4566667;3728;18
FWWS;FWWN;00:00:18.7333333;82;18
TERW;TERS;00:00:18.7333333;2148;18
EEDZ;EEDL;00:00:18.7800000;2173;18
TTPS;THP;00:00:18.7866667;548;18
TNBA;TNB;00:00:18.8266667;1951;18
RKLN;RKLS;00:00:18.9033333;1421;18
FKRL;FKRLS;00:00:18.9666667;259;18
NHBH;NHBU;00:00:18.9766667;5862;18
RMHR;RMH;00:00:18.9766667;244;18
THP;TTPS;00:00:19.0066667;549;19
SRCH;SRCS;00:00:19.0100000;1017;19
DPI G;DPI;00:00:19.0600000;515;19
RMS;RMSU;00:00:19.0933333;2010;19
TWLB;TSUS;00:00:19.6166667;571;19
XAPL;XAMU;00:00:19.7800000;322;19
RUW;RUWA;00:00:19.8066667;5470;19
LHNWO;LHG M;00:00:19.8133333;2467;19
KKFS;KPHF;00:00:19.9900000;4275;19
AE  O;AE  F;00:00:20.0066667;5141;20
EHGV;EHGVF;00:00:20.0233333;3813;20
KBBN;XABX;00:00:20.0266667;40;20
RSCF;RSCFW;00:00:20.4366667;1267;20
BRGBB;BRGBV;00:00:20.5200000;5644;20
FKWK;FKWNB;00:00:20.6066667;4776;20
UGHO;UGH;00:00:20.6166667;78;20
ALA;ALAA;00:00:20.6333333;6204;20
UE  F;UE  O;00:00:20.9133333;4146;20
RMSU;RMS;00:00:20.9400000;1788;20
RQLM;RLSM;00:00:20.9600000;52;20
MFHD;MFHU;00:00:20.9866667;3969;20
RHGBB;RHGB;00:00:21.0066667;1221;21
AONA;AON;00:00:21.1200000;2745;21
RGOS;RGO;00:00:21.1966667;595;21
RKES;RKEU;00:00:21.2366667;1709;21
FKWNB;FKWK;00:00:21.2433333;4454;21
TKM;TKMA;00:00:21.4000000;306;21
TRNF;TNX;00:00:21.4033333;1140;21
MHFG;MHUF;00:00:21.5633333;805;21
KKOLM;KKOLN;00:00:21.5800000;6015;21
LLW;LLW U;00:00:21.6000000;30;21
LMTW;LMB F;00:00:21.6433333;4828;21
RHBP;RHBW;00:00:21.6633333;10188;21
KPW N;KPW S;00:00:21.7233333;390;21
KKOLN;KKOLM;00:00:21.7533333;6026;21
RHGB;RHGBB;00:00:21.8800000;1212;21
RBOH;RBOE;00:00:21.8900000;414;21
FMN;FKBW;00:00:21.9266667;5836;21
AHROP;AHROO;00:00:21.9933333;760;21
AE  F;AE  O;00:00:22.0533333;5127;22
RBOE;RBOH;00:00:22.1333333;419;22
TBFS;TBK;00:00:22.3000000;2992;22
HHEI;HD  F;00:00:22.3400000;1487;22
TERS;TERW;00:00:22.3533333;1908;22
BRGBR;BRGBV;00:00:22.5000000;52;22
TSUS;TWLB;00:00:22.5133333;512;22
RMAX;RMAL;00:00:22.5400000;2792;22
TLW K;TLW O;00:00:22.8000000;959;22
EDHP;EDHZ;00:00:22.8900000;2787;22
WNS;WNS G;00:00:22.9066667;1719;22
RSL;RSLA;00:00:23.0166667;1948;23
FWO A;FKBWO;00:00:23.0366667;4719;23
NHBU;NHBH;00:00:23.0966667;5808;23
AHROO;AHROP;00:00:23.2300000;941;23
EHGVF;EHGV;00:00:23.2500000;3787;23
FEGWW;FEGW;00:00:23.2800000;167;23
RNBO;RN  O;00:00:23.3200000;6687;23
DCT;DCTA;00:00:23.3333333;1348;23
EDBZ;EDBU;00:00:23.3733333;5045;23
MBAL;MBAA;00:00:23.4300000;11749;23
HEMP;HEMA;00:00:23.4933333;5011;23
FNISA;FNIS;00:00:23.5000000;5643;23
FSPRS;FSPRN;00:00:23.6166667;1058;23
REKG;REK;00:00:23.7033333;3611;23
LMB F;LMTW;00:00:23.8266667;4873;23
AKSA;AKSS;00:00:23.8500000;40;23
FDU;FDUU;00:00:23.8733333;3854;23
MPL;MPLU;00:00:23.9433333;4211;23
RSCFW;RSCF;00:00:23.9533333;1270;23
RXKL;RKL;00:00:23.9700000;414;23
KNOKC;KNOKA;00:00:24.0000000;3296;24
TMHB;TMHR;00:00:24.0000000;569;24
TMHR;TMHB;00:00:24.0000000;623;24
FSPRN;FSPRS;00:00:24.0133333;995;24
HHGH;HHAG;00:00:24.0233333;3868;24
HHAG;HHGH;00:00:24.0433333;3789;24
EDBU;EDBZ;00:00:24.0566667;3665;24
RLB G;RLB W;00:00:24.0600000;200;24
BWHO;BWHA;00:00:24.0800000;1483;24
UE  O;UE  F;00:00:24.0833333;2354;24
MHSN;MHSU;00:00:24.1666667;3358;24
FBLA;FB  O;00:00:24.1700000;1568;24
RUWA;RUW;00:00:24.1800000;5572;24
KFO;KDOA;00:00:24.2000000;1553;24
FB  O;FBLA;00:00:24.2100000;1603;24
MOP R;MOP H;00:00:24.2800000;4824;24
DPI;DPI G;00:00:24.2900000;518;24
DRBA;DRBN;00:00:24.4033333;1349;24
TNX;TRNF;00:00:24.6033333;1137;24
NVDO;NVN;00:00:24.8700000;351;24
FEGW;FEGWW;00:00:24.8900000;135;24
RMU B;RMU;00:00:24.9266667;2221;24
REK;REKG;00:00:24.9466667;3606;24
FWWN;FWWS;00:00:24.9666667;124;24
EEZB;KQAU;00:00:24.9966667;1180;24
HBUH;HWED;00:00:25.3800000;3920;25
HGMGA;HBGM;00:00:25.3800000;129;25
EEKZ;EEKS;00:00:25.4400000;6443;25
LHADB;LHAD;00:00:25.4766667;618;25
TWSH;TWS;00:00:25.5566667;5752;25
TS  P;TS  W;00:00:25.6300000;11928;25
RSLA;RSL;00:00:25.6400000;2057;25
AMDH;AMD;00:00:25.7200000;3268;25
RMBK;RKLN;00:00:25.7433333;31;25
DWBN;DWBZ;00:00:25.8000000;10;25
KKN P;KKN W;00:00:25.8033333;7956;25
LRH;LRHU;00:00:25.9133333;2389;25
FLAE;FBLA;00:00:25.9800000;291;25
KPW S;KPW N;00:00:26.0000000;366;26
BRGBA;BRGBO;00:00:26.2133333;5269;26
AAHN;AAHG;00:00:26.3266667;4750;26
UEIS;UEIP;00:00:26.3600000;1822;26
MFHU;MFHD;00:00:26.3733333;3865;26
LLPDH;LE  K;00:00:26.4600000;3096;26
KBRO;XASC;00:00:26.4633333;29;26
RLSM;RQLM;00:00:26.4833333;7425;26
EHNE;ERWK;00:00:26.5666667;1938;26
HHEG;HHEP;00:00:26.5933333;1094;26
TSIH;TSID;00:00:26.5966667;2580;26
SKEN;SKLA;00:00:26.6166667;457;26
TPBG;TPB;00:00:26.6733333;162;26
FF  H;FKY;00:00:26.6800000;14374;26
RWDG;RNFL;00:00:26.7133333;4375;26
NERB;NERS;00:00:26.8866667;3626;26
RLBS;RLBST;00:00:26.9333333;1174;26
FBLA;FLAE;00:00:26.9400000;294;26
KWST;KDOB;00:00:26.9700000;8618;26
USAE;UMS;00:00:26.9700000;1988;26
UEIP;UEIS;00:00:26.9766667;1855;26
SKLA;SKEN;00:00:26.9966667;474;26
EEKS;EEKZ;00:00:27.0733333;6251;27
EDHZ;EDHP;00:00:27.1133333;2797;27
XAFW;KUR;00:00:27.1566667;34;27
RNFL;RWDG;00:00:27.1666667;4352;27
LHAD;LHADB;00:00:27.2066667;599;27
KKAS;KKASS;00:00:27.2866667;3333;27
NNE O;NNE S;00:00:27.3033333;616;27
EDKA;EDKR;00:00:27.3200000;2750;27
TELL;TELI;00:00:27.3566667;549;27
TLW;TLW O;00:00:27.4666667;1476;27
BGH M;BGH;00:00:27.5100000;1435;27
FRON;FFDF;00:00:27.6066667;1851;27
KKASS;KKAS;00:00:27.6400000;3310;27
KGS;KSTA;00:00:27.6666667;18;27
LE  H;LEO;00:00:27.7566667;5659;27
HS;HSR W;00:00:27.7933333;7884;27
KWST;KEM;00:00:27.8266667;8445;27
NDOE;NHZW;00:00:27.8800000;1616;27
FKY;FF  H;00:00:27.9133333;14636;27
KKW;KKW F;00:00:27.9600000;6096;27
FEGW;FEGWS;00:00:28.0133333;166;28
HBGM;HGMGA;00:00:28.0533333;58;28
KNOKA;KNOKC;00:00:28.1466667;3046;28
TPB;TPBG;00:00:28.1466667;162;28
EVWM;EGRK;00:00:28.2366667;1756;28
BAWS;BWSU;00:00:28.3533333;887;28
XPKU;BXF;00:00:28.4733333;566;28
HG  N;HG  G;00:00:28.5300000;1885;28
KWS G;KWS;00:00:28.5400000;643;28
BBGN;BBGS;00:00:28.5466667;3588;28
RKRH;RMAX;00:00:28.5666667;2787;28
NERS;NER G;00:00:28.5933333;6583;28
AAHG;AAHN;00:00:28.6333333;4741;28
UE  L;UE  F;00:00:28.6633333;4118;28
KKW F;KKW;00:00:28.6766667;6264;28
KPFF;KBHR;00:00:28.7133333;2068;28
MUH;MUHU;00:00:28.7166667;5051;28
UMS;USAE;00:00:28.7900000;1972;28
AVL;AOHA;00:00:28.7933333;234;28
RRZU;RRZM;00:00:28.8200000;254;28
XAAH;XAKA;00:00:28.9300000;1053;28
KKN E;YKKEZ;00:00:28.9766667;1520;28
RMAL;RMAW;00:00:28.9766667;2886;28
RAP;RAPM;00:00:28.9800000;3944;28
XAIW;XTDA;00:00:29.0500000;41;29
ALAA;ALA;00:00:29.1600000;6082;29
NNE S;NNE O;00:00:29.2433333;571;29
NERS;NERB;00:00:29.3666667;3593;29
LLES;LL  N;00:00:29.3800000;7472;29
LF  W;LF;00:00:29.4566667;107;29
KSTU;KDEM;00:00:29.4766667;3863;29
DWBZ;DWBN;00:00:29.5000000;12;29
MRMS;MRMU;00:00:29.5866667;3457;29
MBIHH;MBIHA;00:00:29.6300000;1700;29
HD  F;HHEI;00:00:29.6533333;1526;29
XDNV;MDID;00:00:29.6666667;10;29
SRCS;SRCH;00:00:29.7000000;1166;29
KDV;KEM;00:00:29.7133333;8334;29
MN  S;MN  M;00:00:29.7333333;30;29
HLEA;HLEG;00:00:29.7533333;5586;29
LMGE;LMEU;00:00:29.7633333;2875;29
KHOL;KHOW;00:00:29.7800000;4215;29
XNGB;EXGR;00:00:29.8333333;2476;29
TMIN;TMIU;00:00:29.8433333;2834;29
TMAL;TRA;00:00:29.8466667;4364;29
KEM;KWST;00:00:29.8866667;8427;29
KHOL;KHO;00:00:29.8933333;4193;29
HBOS;HBR V;00:00:29.8966667;1167;29
TSN;TPT;00:00:29.9200000;12458;29
HNH;MGPH;00:00:29.9333333;517;29
TLW;TLW S;00:00:29.9566667;2059;29
NBUE;NBUU;00:00:29.9800000;3155;29
MSTH;MOP H;00:00:29.9833333;502;29
ERWK;EHNE;00:00:29.9900000;1940;29
NNRE;NNRU;00:00:29.9900000;3548;29
NSCL;NSCU;00:00:29.9900000;3558;29
FWORG;FWOR;00:00:30.0000000;56;30
LF  F;LF  S;00:00:30.0000000;41;30
TET K;TET N;00:00:30.0000000;1176;30
TMAI;TMIU;00:00:30.0066667;2837;30
REISO;REISW;00:00:30.1266667;1228;30
RHBW;RHBP;00:00:30.2033333;9947;30
LGRA;LLBR;00:00:30.2133333;3408;30
RWE;MPFS;00:00:30.2400000;26;30
KKW;KKW S;00:00:30.2533333;6265;30
TSID;TSIH;00:00:30.2666667;2580;30
FHOES;FFAWA;00:00:30.3233333;4017;30
FFAWA;FHOES;00:00:30.3533333;5717;30
BBIW;BBI;00:00:30.4000000;824;30
FFDF;FRON;00:00:30.4666667;1813;30
RMAL;RMAX;00:00:30.4700000;2880;30
BJUEG;BJUE;00:00:30.7500000;4146;30
UTP;UTPU;00:00:30.7900000;1336;30
FDE;FDE N;00:00:30.7966667;3340;30
BRGBA;BRGBB;00:00:30.8333333;5654;30
FHOES;FFAW;00:00:30.8433333;9678;30
HHEP;HHEG;00:00:30.8633333;1100;30
BRGBT;BRGBR;00:00:30.8966667;2503;30
RMFS;RMFE;00:00:30.9500000;7435;30
LRG;LMEI;00:00:30.9800000;2772;30
HHZ;HHN;00:00:31.0033333;8746;31
KKM A;KKM B;00:00:31.0400000;75;31
LRHU;LRH;00:00:31.0433333;2479;31
BJUE;BJUEG;00:00:31.1433333;4189;31
RRZM;RRZU;00:00:31.1500000;245;31
NSHO;NHOS;00:00:31.2500000;12;31
BGH;BGH M;00:00:31.2700000;1511;31
KDOA;KFO;00:00:31.2833333;1623;31
HHML;HWU;00:00:31.3600000;4840;31
HEMA;HEMP;00:00:31.4066667;5041;31
BBGS;BBGN;00:00:31.4733333;3923;31
FKOA;FKOZ;00:00:31.5233333;2237;31
MHUF;MHFG;00:00:31.5300000;811;31
RMU;RMU B;00:00:31.5433333;1524;31
MOP H;MOP R;00:00:31.5700000;5119;31
TWUN;TWUM;00:00:31.5733333;1138;31
KHOW;KHOL;00:00:31.5966667;4205;31
HHBO;HEMA;00:00:31.6066667;5040;31
RSG;RSG N;00:00:31.6066667;1623;31
NHOS;NSHO;00:00:31.6366667;11;31
UTPU;UTP;00:00:31.6400000;1274;31
FKOA;FKEI;00:00:31.7066667;3510;31
TET N;TET K;00:00:31.7333333;1329;31
UE  F;UE  L;00:00:31.7400000;2350;31
HHAT;HBHM;00:00:31.7566667;2733;31
AAH A;AFRD;00:00:31.8133333;3649;31
RDUN;RDRM;00:00:31.8133333;2406;31
XAKL;KKW S;00:00:31.8566667;30;31
LGOS;LGOSW;00:00:31.9833333;1758;31
FFO U;FFO V;00:00:31.9900000;1446;31
FFU W;FFU G;00:00:31.9933333;1559;31
MP;MP  N;00:00:32.0000000;227;32
XFGN;XFRVM;00:00:32.0466667;66;32
FEGWS;FEGW;00:00:32.0866667;152;32
KDDH;KDDP;00:00:32.0866667;10687;32
XASC;KBRE;00:00:32.1333333;31;32
KWS;KWS G;00:00:32.1466667;644;32
LRWA;LRG;00:00:32.1666667;2763;32
LF;LF  W;00:00:32.2000000;10;32
RIM;RIMM;00:00:32.2166667;621;32
AVL;ANEB;00:00:32.3900000;3149;32
KBHR;KPFF;00:00:32.4733333;2068;32
BDAB;BZO A;00:00:32.6166667;3458;32
RAPM;RAP;00:00:32.6333333;3930;32
BBGS;BBSH;00:00:32.6600000;101;32
KFNW;KVI;00:00:32.7100000;9144;32
TBK;TBFS;00:00:32.7633333;3047;32
KQAU;EEZB;00:00:32.7833333;1244;32
RN  O;RNBO;00:00:32.8500000;6727;32
TH  K;TH  S;00:00:32.8566667;3171;32
HWU;HHML;00:00:32.9133333;4650;32
HHOHA;HLIS;00:00:32.9900000;277;32
TS;TS  T;00:00:33.0000000;12;33
LE  K;LLPDH;00:00:33.0166667;2859;33
EXGR;XNGB;00:00:33.0333333;2458;33
LMAC;LMAU;00:00:33.0600000;5387;33
TSUE;TSUS;00:00:33.0966667;523;33
BCSB;BCS W;00:00:33.1233333;146;33
BWPO;BWPS;00:00:33.2566667;1011;33
NVN;NVDO;00:00:33.2700000;365;33
RMW;RMLB;00:00:33.3233333;6940;33
ENDO;ENDN;00:00:33.3333333;1398;33
AMFU;AMF;00:00:33.4300000;2612;33
NGM S;NZG;00:00:33.5200000;1233;33
RBLH;RBLN;00:00:33.5900000;254;33
DWBW;DWBZ;00:00:33.6366667;2026;33
BBI N;BBI;00:00:33.6733333;1555;33
NXPA;NPA P;00:00:33.7566667;449;33
TH  S;TH  K;00:00:33.9133333;3156;33
FFU G;FFU W;00:00:33.9800000;55;33
KKE F;KKE K;00:00:34.0000000;12;34
TWS;TWSH;00:00:34.0400000;4880;34
XFRVM;XFGN;00:00:34.1066667;567;34
RGO;RGOS;00:00:34.1366667;593;34
FMOH;FCX;00:00:34.1966667;3970;34
LNW;LNW S;00:00:34.2400000;7436;34
KKDZB;KKPO;00:00:34.3066667;18485;34
LF  W;LF  O;00:00:34.3066667;13;34
LHSS;LHW;00:00:34.3100000;2750;34
BWPS;BWPO;00:00:34.3133333;1021;34
RBBW;RBBO;00:00:34.4100000;1948;34
FKOZ;FKOA;00:00:34.4733333;2253;34
RKEU;RKES;00:00:34.4766667;1636;34
RBBO;RBBW;00:00:34.4933333;1960;34
RMAW;RMAL;00:00:34.5000000;2879;34
LGOSW;LGOS;00:00:34.5100000;1666;34
SNKE;SNKW;00:00:34.5100000;2676;34
BRGBV;BRGBB;00:00:34.5766667;5426;34
MP  P;MP  W;00:00:34.5900000;213;34
DRBZ;DRBD;00:00:34.6233333;5293;34
XPZS;BXFO;00:00:34.6400000;128;34
AFRD;AAH A;00:00:34.6433333;3641;34
RMAX;RKRH;00:00:34.6600000;2972;34
WPZ;WPZA;00:00:34.6700000;1375;34
ALSJ;ASTR;00:00:34.6766667;1318;34
XAHO;DKH;00:00:34.6933333;52;34
REISW;REISO;00:00:34.7166667;1281;34
AOL;AOL A;00:00:34.7300000;875;34
RHRB;RSCFO;00:00:34.8166667;4977;34
KKS;XAKL;00:00:34.9266667;29;34
TTWG;TT;00:00:34.9566667;118;34
FCX;FMOH;00:00:35.0333333;3892;35
TLW O;TLW K;00:00:35.1366667;44;35
NNEU;NKMU;00:00:35.2466667;1731;35
DCTA;DCT;00:00:35.2933333;1314;35
TAL;TALO;00:00:35.3133333;647;35
FHP;FHP N;00:00:35.4200000;4076;35
AON;AONA;00:00:35.4633333;2734;35
LACF;LLAN;00:00:35.5133333;3202;35
RSZM;RSZN;00:00:35.5200000;1982;35
LMEI;LRG;00:00:35.5900000;2728;35
TWUM;TWUN;00:00:35.6400000;1138;35
FG  A;FGOG;00:00:35.6700000;319;35
KHOM;KHOW;00:00:35.6733333;4205;35
FEIM;FKGE;00:00:35.6833333;57;35
KBEG;KSTU;00:00:35.7266667;44;35
SWR K;SWR E;00:00:35.7266667;1375;35
EDK;EDKL;00:00:35.8333333;3829;35
FKH;FKJK;00:00:35.8666667;52;35
TSUS;TSUE;00:00:35.8666667;545;35
RDRM;RDUN;00:00:35.9000000;2692;35
BCS W;BCSB;00:00:35.9133333;70;35
KKN W;KKN P;00:00:35.9233333;7631;35
FWSA;FWWS;00:00:35.9300000;84;35
BHDW;BHDO;00:00:35.9333333;181;35
SKLA;SKLS;00:00:35.9600000;458;35
MOZ;MAOZ;00:00:35.9733333;5156;35
DWBZ;DWBW;00:00:35.9900000;1936;35
FMUL;FSHF;00:00:35.9966667;14499;35
EDWDP;EDWD;00:00:36.0000000;1337;36
EHGGB;EHGGW;00:00:36.0000000;42;36
LF  L;LF  O;00:00:36.0000000;21;36
RBRH;RDUN;00:00:36.0000000;215;36
FHOEG;FHOEA;00:00:36.0100000;1724;36
FFO V;FFO U;00:00:36.0166667;1875;36
BSTAB;BNDM;00:00:36.0233333;509;36
FROL;FNRI;00:00:36.0300000;3854;36
FLBF;FSHF;00:00:36.0600000;14919;36
BZO A;BDAB;00:00:36.0633333;3411;36
BBI;BBI N;00:00:36.0933333;1525;36
LMAU;LMAC;00:00:36.1000000;5320;36
SWR E;SWR K;00:00:36.1066667;1391;36
DGRBK;DGRB;00:00:36.2366667;1016;36
LRO;LHAC;00:00:36.2700000;2781;36
LK  R;LK  C;00:00:36.2733333;2504;36
RKLN;RMBK;00:00:36.3766667;16;36
NRH B;NRPF;00:00:36.4066667;1540;36
UMS;UME;00:00:36.4066667;1988;36
TU  R;TU  F;00:00:36.4733333;2384;36
TLW S;TLW;00:00:36.4866667;2107;36
HSR W;HS;00:00:36.5100000;7865;36
MLOI;MADF;00:00:36.5266667;1314;36
MUHU;MUH;00:00:36.5400000;5036;36
TLW O;TLW;00:00:36.5800000;600;36
TDUS;TDU;00:00:36.7333333;646;36
LK  C;LK  D;00:00:36.7533333;2498;36
MFG;MGIF;00:00:36.7866667;5042;36
BLD G;BLD;00:00:36.8100000;3976;36
MADF;MLOI;00:00:36.8300000;1408;36
LLP;LLP G;00:00:36.8400000;3567;36
ENDN;ENDO;00:00:36.9700000;1406;36
MLEU;MOP A;00:00:36.9900000;4771;36
KSTU;KBEG;00:00:37.0166667;56;37
FFO G;FFO U;00:00:37.0566667;1441;37
LMEU;LMGE;00:00:37.1600000;2866;37
RLBST;RLBS;00:00:37.1600000;1138;37
LMR F;LMR;00:00:37.2000000;15;37
RSLA;RSLR;00:00:37.2000000;15;37
UEIP;UEIW;00:00:37.2133333;1821;37
TBEA;TBE;00:00:37.3066667;306;37
UE  O;UE  G;00:00:37.3733333;4057;37
LK  D;LK  C;00:00:37.4700000;2522;37
DRBD;DRBZ;00:00:37.5166667;5684;37
BGHO;BGH M;00:00:37.6000000;3502;37
BLD;BLD G;00:00:37.7033333;3847;37
